class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.config.spring.context.config.NamePropertyDefaultValueDubboConfigBeanCustomizer	class	3	3	0	3	7	1	0	8	1	0.75	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.rpc.protocol.rest.message.codec.TextCodec	class	6	6	0	6	5	1	0	4	10	0	0	0	5	0	5	0	0	0	5	0
org.apache.dubbo.rpc.cluster.configurator.override.OverrideConfigurator	class	4	8	4	4	2	2	0	4	1	0.5	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.remoting.telnet.support.TelnetUtils	class	2	6	4	2	32	1	0	14	3	0	0	0	3	3	3	0	0	0	3	0
org.apache.dubbo.metadata.MappingCacheManager	class	3	5	2	3	7	2	0	9	6	0.75	0	0	4	1	2	0	2	0	4	0
org.apache.dubbo.common.extension.ExtensionLoader	class	36	54	18	36	279	1	0	270	1860	0.9545017	0.0862069	0.22906403	72	9	27	43	1	1	29	0
org.apache.dubbo.remoting.exchange.support.ExchangeHandlerDispatcher	class	12	15	3	12	15	1	0	13	35	0.68888885	0.33333334	0.62857145	15	0	15	0	0	0	15	0
org.apache.dubbo.common.utils.AtomicPositiveInteger	class	1	3	2	1	31	2	0	15	99	0.8181818	0.2857143	0.2857143	22	0	22	0	0	0	22	0
org.apache.dubbo.serialization.MyObjectOutput	class	2	4	2	2	13	1	0	3	72	0.7692308	0.03846154	0.03846154	13	0	13	0	0	0	13	0
org.apache.dubbo.remoting.transport.ChannelHandlerDispatcher	class	4	8	4	4	23	1	0	17	0	0.36363637	0.6545454	0.6545454	11	0	11	0	0	0	11	0
org.apache.dubbo.rpc.protocol.rest.exception.ParamParseException	class	1	2	1	1	1	5	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metadata.rest.api.SpringControllerService	class	8	9	1	8	8	1	0	0	28	0	0	0	8	0	8	0	0	0	8	0
